date,product_id,quantity_sold,price,discount_price,stock,sold,category_name
2025-01-03,1,2,36000,7200,80,10,Lương thực
2025-01-10,2,5,58000,7500,90,20,Lương thực
2025-01-17,1,3,36500,7300,78,11,Lương thực
2025-01-24,2,6,58200,7550,85,21,Lương thực
2025-01-31,1,4,37000,7400,75,12,Lương thực
2025-02-03,1,3,36000,7100,82,10,Lương thực
2025-02-10,2,6,58400,7600,88,22,Lương thực
2025-02-17,1,4,36800,7250,80,11,Lương thực
2025-02-24,2,5,58600,7650,84,21,Lương thực
2025-02-28,1,3,37200,7450,76,12,Lương thực
2025-03-05,1,2,36200,7150,81,95,Lương thực
2025-03-12,2,5,57900,7400,87,21,Lương thực
2025-03-19,1,4,36600,7200,79,10,Lương thực
2025-03-26,2,6,58300,7500,83,21,Lương thực
2025-03-30,1,3,37000,7350,77,11,Lương thực
2025-04-02,1,2,36100,7100,82,12,Lương thực
2025-04-09,2,5,57800,7380,86,12,Lương thực
2025-04-16,1,3,36500,7180,80,10,Lương thực
2025-04-23,2,4,58200,7530,84,8,Lương thực
2025-04-30,1,4,36900,7400,78,20,Lương thực
2025-05-01,1,3,36013,7243,67,40,Lương thực
2025-05-08,2,6,58030,7578,94,14,Lương thực
2025-05-15,1,4,36600,7290,75,22,Lương thực
2025-05-22,2,5,58300,7480,88,18,Lương thực
2025-05-29,1,3,37000,7350,72,26,Lương thực
2025-06-01,1,3,36013,7243,67,40,Lương thực
2025-06-08,2,6,58030,7578,94,14,Lương thực
2025-06-15,1,4,36600,7290,75,22,Lương thực
2025-06-22,2,5,58300,7480,88,18,Lương thực
2025-06-29,1,3,37000,7350,72,26,Lương thực
2025-07-01,1,3,36013,7243,67,40,Lương thực
2025-07-08,2,6,58030,7578,94,14,Lương thực
2025-07-15,1,4,36600,7290,75,22,Lương thực
2025-07-22,2,5,58300,7480,88,18,Lương thực
2025-07-29,1,3,37000,7350,72,26,Lương thực
